file,date,court,case,skk,ecli,outcome,source_context,evidence,sentence_mentions,mentions_329,duplicate_note
Anonimizets_nolemums_399419 (1).pdf,2018.gada 7.februārī,Augstākā tiesa,11860000217,SKK-375/2012,,notiesājošs / vainīgs; attaisnošana minēta; atcelts/nodots jaunai izskatīšanai,VID sistēma; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,naudas sod,12,
Anonimizets_nolemums_399419.pdf,2018.gada 7.februārī,Augstākā tiesa,11860000217,SKK-375/2012,,notiesājošs / vainīgs; attaisnošana minēta; atcelts/nodots jaunai izskatīšanai,VID sistēma; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,naudas sod,12,
Anonimizets_nolemums_416226.pdf,2020.gada 4.jūnijā,Latvijas Republikas Senāts,"12812001716, SKK-J-221/2020",SKK-J-221/2020,ECLI:LV:AT:2020:0604.12812001716.5.L,atteikts ierosināt kasāciju; atstāts negrozīts,VID sistēma; Sodu reģistrs,operatīvā noklausīšanās; SMS/īsziņas; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,12,
Anonimizets_nolemums_418511.pdf,2020.gada 25. maijā,,,SKK- 232/08,ECLI:LV:RLPT:2020:0525.11816011019.2.S,notiesājošs / vainīgs,VID sistēma; Iedzīvotāju reģistrs/PMLP; policijas sistēmas,WhatsApp; amatpersonas dokumenti/brīdinājums,,5,
Anonimizets_nolemums_436371.pdf,2019. gada 28. martā,Augstākā tiesa,2012/51-52-53 izskatīšanu un šajā lietā esošo,SKK-150/2016,ECLI:LV:RAT:2019:0328.12812002315.3.S,notiesājošs / vainīgs; attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Iedzīvotāju reģistrs/PMLP; Kriminālprocess/izmeklēšanas noslēpums; zemesgrāmata/kadastrs,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, naudas sod",13,
Anonimizets_nolemums_453105.pdf,2017.gada 25.augustā,Pilna sprieduma pieejamības diena tiesas kancelejā – 2018.gada 16.janvāris.,12812002315,,ECLI:LV:RVPT:2017:0825.12812002315.1.S,notiesājošs / vainīgs; attaisnošana minēta,VID sistēma; Iedzīvotāju reģistrs/PMLP; zemesgrāmata/kadastrs,sistēmu auditācijas dati; liecinieki; amatpersonas dokumenti/brīdinājums,,12,
Anonimizets_nolemums_457776.pdf,2021.gada 31.augustā,"Rīgas pilsētas Vidzemes priekšpilsētas tiesa,",15850001321,,ECLI:LV:RVPT:2021:0831.15850001321.2.S,atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma,WhatsApp; kratīšana/izņemšana; amatpersonas dokumenti/brīdinājums,"brīvības atņem, naudas sod",16,
Anonimizets_nolemums_459247.pdf,2021.gada 15.septembrī,Kurzemes rajona tiesa,11860003220,,,notiesājošs / vainīgs; atstāts negrozīts,VID sistēma,telefonsarunas / zvani; amatpersonas dokumenti/brīdinājums,,3,
Anonimizets_nolemums_475401.pdf,2022.gada 7.aprīlī,Latvijas Republikas Senāts,"16870001820, SKK-124/2022",SKK-124/2022,ECLI:LV:AT:2022:0407.16870001820.9.L,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Sodu reģistrs; Kriminālprocess/izmeklēšanas noslēpums,liecinieki; amatpersonas dokumenti/brīdinājums,"brīvības atņem, naudas sod",18,
Anonimizets_nolemums_481430.pdf,2022.gada 3.jūnijā,"likuma normām, tiesa konstatēja :",12910000822,,ECLI:LV:RVPT:2022:0603.12910000822.2.S,notiesājošs / vainīgs,VID sistēma; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,telefonsarunas / zvani; WhatsApp; e-pasts; kratīšana/izņemšana; datora/telefona apskate; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg",7,
Anonimizets_nolemums_488965.pdf,2022.gada 17.oktobrī,Latvijas Republikas Senāts,"16870000620, SKK-587/2022",SKK-587/2022,ECLI:LV:AT:2022:1017.16870000620.7.L,atteikts ierosināt kasāciju,,,,3,
Anonimizets_nolemums_488999.pdf,2021.gada 20.decembrī,Augstākā tiesa,,SKK- 147/2017,ECLI:LV:ZRT:2021:1220.16870000620.3.S,notiesājošs / vainīgs; atstāts negrozīts,VID sistēma; Iedzīvotāju reģistrs/PMLP; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,telefonsarunas / zvani; SMS/īsziņas; WhatsApp; e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, sabiedrisk, naudas sod",18,
